Timestamp,Channel 1,Channel 2
1088.231568,1.0,
1088.231988,-1.0,
1088.232421,0.0,
1088.232827,-2.0,
1088.23325,-2.0,
1088.233677,-3.0,
1088.234105,-1.0,
1088.234565,1.0,
1088.234991,0.0,
1088.235388,3.0,
1088.23579,-3.0,
1088.236222,-3.0,
1088.23665,0.0,
1088.23706,0.0,
1088.23747,0.0,
1088.237909,-2.0,
1088.238354,-1.0,
1088.238779,-5.0,
1088.239205,-2.0,
1088.239637,-1.0,
1088.24006,0.0,
1088.240471,0.0,
1088.240864,-2.0,
1088.241335,-2.0,
1088.241772,0.0,
1088.24212,0.0,
1088.242503,-2.0,
1088.242939,-2.0,
1088.243366,0.0,
1088.24377,-1.0,
1088.244206,0.0,
1088.24465,-2.0,
1088.245092,1.0,
1088.245509,-1.0,
1088.245926,1.0,
1088.246328,-2.0,
1088.246742,-2.0,
1088.24712,0.0,
1088.247513,-2.0,
1088.247991,-2.0,
1088.248436,1.0,
1088.248847,-2.0,
1088.249279,-1.0,
1088.249701,1.0,
1088.250107,0.0,
1088.250504,-2.0,
1088.250942,0.0,
1088.251391,-1.0,
1088.251837,-1.0,
1088.252257,0.0,
1088.252672,-2.0,
1088.253088,0.0,
1088.253491,-2.0,
1088.253921,0.0,
1088.254321,0.0,
1088.254751,1.0,
1088.255104,0.0,
1088.255484,-1.0,
1088.255912,0.0,
1088.25632,-1.0,
1088.25674,1.0,
1088.257092,1.0,
1088.257476,-2.0,
1088.257936,0.0,
1088.258354,-1.0,
1088.25878,1.0,
1088.259123,2.0,
1088.259514,-1.0,
1088.259933,0.0,
1088.26034,0.0,
1088.260744,1.0,
1088.261127,3.0,
1088.261519,-3.0,
1088.26195,-2.0,
1088.262381,0.0,
1088.262786,-1.0,
1088.263215,1.0,
1088.263619,0.0,
1088.264016,1.0,
1088.264449,-1.0,
1088.264887,-3.0,
1088.265308,-2.0,
1088.265744,1.0,
1088.266091,-2.0,
1088.266505,1.0,
1088.266909,-2.0,
1088.267326,2.0,
1088.267775,-1.0,
1088.26821,-3.0,
1088.268654,0.0,
1088.269049,-1.0,
1088.269478,0.0,
1088.269889,-1.0,
1088.27032,-3.0,
1088.270745,-1.0,
1088.271213,-2.0,
1088.271655,0.0,
1088.272073,0.0,
1088.272466,-2.0,
1088.272892,-1.0,
1088.273314,-3.0,
1088.273746,-1.0,
1088.274121,-1.0,
1088.274575,0.0,
1088.274994,-1.0,
1088.27543,-1.0,
1088.275861,-3.0,
1088.276285,0.0,
1088.276682,-2.0,
1088.277112,-1.0,
1088.277543,-2.0,
1088.278009,-1.0,
1088.278452,-1.0,
1088.278871,-1.0,
1088.279303,-2.0,
1088.279734,1.0,
1088.280135,-2.0,
1088.280565,-1.0,
1088.280996,-2.0,
1088.281462,0.0,
1088.28189,-3.0,
1088.282328,-2.0,
1088.282739,-1.0,
1088.283105,-1.0,
1088.283508,-1.0,
1088.283932,-2.0,
1088.284357,-1.0,
1088.284822,1.0,
1088.28524,0.0,
1088.285641,-4.0,
1088.286076,-4.0,
1088.286494,0.0,
1088.286909,-2.0,
1088.287338,0.0,
1088.28775,-1.0,
1088.288214,-1.0,
1088.288656,-2.0,
1088.289077,3.0,
1088.289487,-1.0,
1088.289914,-2.0,
1088.290339,0.0,
1088.290746,-1.0,
1088.291129,2.0,
1088.291557,-3.0,
1088.291986,0.0,
1088.292397,-1.0,
1088.292822,0.0,
1088.293217,-1.0,
1088.293636,-1.0,
1088.294056,-2.0,
1088.294493,-2.0,
1088.294952,-1.0,
1088.295393,-2.0,
1088.295835,0.0,
1088.296237,-1.0,
1088.296663,-2.0,
1088.297094,1.0,
1088.297498,2.0,
1088.2979,0.0,
1088.298344,-3.0,
1088.298789,2.0,
1088.299207,-2.0,
1088.29963,1.0,
1088.300032,0.0,
1088.300431,0.0,
1088.30083,-4.0,
1088.301258,0.0,
1088.301697,0.0,
1088.30212,3.0,
1088.302525,-1.0,
1088.302961,-3.0,
1088.303395,-1.0,
1088.303823,-1.0,
1088.304246,1.0,
1088.304657,1.0,
1088.305094,-1.0,
1088.305533,0.0,
1088.305948,-3.0,
1088.306386,-3.0,
1088.306818,1.0,
1088.307216,0.0,
1088.307615,-1.0,
1088.308039,0.0,
1088.30849,0.0,
1088.308912,2.0,
1088.309318,-1.0,
1088.30974,0.0,
1088.31009,-1.0,
1088.31049,-1.0,
1088.310925,0.0,
1088.311332,-4.0,
1088.311791,2.0,
1088.312224,1.0,
1088.312622,-1.0,
1088.31304,0.0,
1088.313452,0.0,
1088.313853,0.0,
1088.314249,0.0,
1088.314639,1.0,
1088.315039,-4.0,
1088.315479,-2.0,
1088.315906,-2.0,
1088.316334,-2.0,
1088.316761,-1.0,
1088.317134,0.0,
1088.317529,1.0,
1088.31793,0.0,
1088.318319,-1.0,
1088.318789,-1.0,
1088.319232,1.0,
1088.319632,-3.0,
1088.32007,-1.0,
1088.320505,-2.0,
1088.320936,-1.0,
1088.321358,-3.0,
1088.321776,-1.0,
1088.32225,0.0,
1088.322664,-2.0,
1088.323094,-2.0,
1088.32352,0.0,
1088.323912,-1.0,
1088.324341,-1.0,
1088.324767,0.0,
1088.32512,1.0,
1088.325542,-1.0,
1088.325979,-2.0,
1088.326416,1.0,
1088.326813,0.0,
1088.327212,2.0,
1088.327604,-3.0,
1088.328035,-1.0,
1088.328477,0.0,
1088.328918,-2.0,
1088.329361,-1.0,
1088.329788,0.0,
1088.33014,1.0,
1088.330525,1.0,
1088.330928,-1.0,
1088.331352,0.0,
1088.331767,-1.0,
1088.332224,0.0,
1088.332632,0.0,
1088.333052,0.0,
1088.333453,0.0,
1088.333865,1.0,
1088.334252,-1.0,
1088.334685,-1.0,
1088.335104,0.0,
1088.335542,0.0,
1088.335958,-1.0,
1088.336371,-1.0,
1088.336796,-3.0,
1088.337229,-3.0,
1088.33765,-1.0,
1088.338078,-2.0,
1088.338508,0.0,
1088.338959,2.0,
1088.339379,0.0,
1088.339776,2.0,
1088.340121,0.0,
1088.340496,-1.0,
1088.34093,-1.0,
1088.341368,0.0,
1088.341766,-2.0,
1088.342234,0.0,
1088.342658,0.0,
1088.343067,-1.0,
1088.343497,0.0,
1088.343918,-4.0,
1088.344339,-1.0,
1088.344762,0.0,
1088.345118,-1.0,
1088.34557,1.0,
1088.345992,-4.0,
1088.34642,0.0,
1088.346834,-4.0,
1088.347263,0.0,
1088.347664,-1.0,
1088.34809,0.0,
1088.348502,0.0,
1088.348944,0.0,
1088.349365,-1.0,
1088.349802,-4.0,
1088.350237,0.0,
1088.350644,0.0,
1088.35105,0.0,
1088.351438,-3.0,
1088.351873,-1.0,
1088.352349,0.0,
1088.352789,-1.0,
1088.353222,-1.0,
1088.35365,0.0,
1088.354055,1.0,
1088.354446,2.0,
