Timestamp,Channel 1
118341884.0,-3.0
118342325.0,-2.0
118342764.0,-1.0
118343130.0,-1.0
118343526.0,3.0
118343938.0,0.0
118344319.0,0.0
118344716.0,-2.0
118345142.0,-1.0
118345605.0,0.0
118346014.0,0.0
118346411.0,2.0
118346807.0,0.0
118347211.0,2.0
118347604.0,-4.0
118348021.0,-2.0
118348444.0,-2.0
118348870.0,-2.0
118349325.0,5.0
118349749.0,-1.0
118350128.0,1.0
118350513.0,1.0
118350925.0,-2.0
118351350.0,-1.0
118351781.0,1.0
118352130.0,-2.0
118352530.0,1.0
118352976.0,0.0
118353384.0,0.0
118353787.0,-3.0
118354212.0,0.0
118354604.0,1.0
118354998.0,-1.0
118355416.0,-2.0
118355838.0,1.0
118356239.0,0.0
118356678.0,-2.0
118357106.0,-1.0
118357543.0,-2.0
118357957.0,0.0
118358356.0,-1.0
118358774.0,1.0
118359131.0,-1.0
118359537.0,-1.0
118359967.0,-1.0
118360424.0,-3.0
118360871.0,-2.0
118361303.0,-2.0
118361743.0,0.0
118362145.0,1.0
118362551.0,0.0
118362942.0,-1.0
118363359.0,0.0
118363759.0,1.0
118364140.0,-2.0
118364558.0,-1.0
118364982.0,1.0
118365381.0,0.0
118365785.0,1.0
118366129.0,-2.0
118366531.0,-1.0
118366950.0,2.0
118367358.0,-3.0
118367820.0,-1.0
118368251.0,0.0
118368670.0,-3.0
118369086.0,2.0
118369492.0,-2.0
118369929.0,-1.0
118370343.0,-1.0
118370776.0,-1.0
118371155.0,2.0
118371578.0,0.0
118371981.0,-4.0
118372412.0,1.0
118372813.0,-2.0
118373232.0,0.0
118373634.0,2.0
118374029.0,-1.0
118374451.0,0.0
118374851.0,-3.0
118375304.0,-2.0
118375745.0,0.0
118376156.0,-1.0
118376580.0,-2.0
118376998.0,-1.0
118377424.0,0.0
118377829.0,-2.0
118378247.0,-2.0
118378671.0,-2.0
118379130.0,-1.0
118379565.0,2.0
118379963.0,0.0
118380370.0,-1.0
118380796.0,0.0
118381211.0,-4.0
118381626.0,0.0
118382019.0,-5.0
118382447.0,1.0
118382889.0,-1.0
118383338.0,1.0
118383742.0,1.0
118384146.0,-1.0
118384569.0,0.0
118384973.0,-1.0
118385405.0,-2.0
118385826.0,-1.0
118386255.0,-1.0
118386718.0,-1.0
118387161.0,0.0
118387553.0,0.0
118387958.0,0.0
118388353.0,1.0
118388756.0,-2.0
118389116.0,4.0
118389505.0,2.0
118389909.0,-1.0
118390364.0,-1.0
118390797.0,0.0
118391152.0,0.0
118391528.0,-1.0
118391963.0,-1.0
118392388.0,-3.0
118392807.0,-2.0
118393223.0,-1.0
118393648.0,0.0
118394094.0,-2.0
118394526.0,1.0
118394940.0,-1.0
118395367.0,0.0
118395768.0,-3.0
118396142.0,-1.0
118396547.0,-1.0
118396967.0,-1.0
118397386.0,1.0
118397816.0,3.0
118398233.0,-1.0
118398659.0,0.0
118399064.0,-2.0
118399494.0,-2.0
118399910.0,-1.0
118400333.0,-2.0
118400760.0,0.0
118401108.0,0.0
118401539.0,0.0
118401950.0,2.0
118402353.0,-1.0
118402775.0,-3.0
118403134.0,0.0
118403512.0,-1.0
118403937.0,-4.0
118404353.0,-1.0
118404768.0,2.0
118405207.0,-2.0
118405649.0,-2.0
118406069.0,-2.0
